AIRCRAFT_ID,PRICE,START_OF_SERVICE,END_OF_SERVICE,TOTAL_FLIGHTS,Date Completed,Manufacturer,Model,Physical Class (Engine Type),# Engines,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Configuration,ICAO/FAA Code,ATCT Weight Class
22,184,2/18/1967,1/6/2016,911,8-Sep,Cessna,441 Conquest II,Turboprop,2,98,49.33,none,39,13.17,tbd,tbd,tbd,"9,850","9,925",S,C441,Small Eqpt
23,681,7/9/1961,4/3/2010,988,2-Nov,Piper,PA-28-236 Cherokee Dakota,Piston,1,62,35,no winglets,24.73,7.17,6.5,6.5,10.53,"3,000","3,011",S,PA28,Small Eqpt
24,906,9/25/1970,4/12/2016,747,15-Sep,Cessna,"Citation III, VI",Jet,2,126,53.5,no winglets,55.5,17.25,21.33,21.33,9.33,"22,000","22,200",D,C650,Medium Commuter Eqpt
25,498,1/3/1983,14/1/2013,571,15-Sep,Cessna,Citation S/II,Jet,2,107,51.58,no winglets,47.71,15,18.5,18.5,13.33,"15,100","15,300",S,S550,tbd
26,388,9/13/1988,30/6/2014,945,15-Sep,Cessna,Citation VII (an upgrade of the III),Jet,2,126,53.5,no winglets,55.46,16.79,21.33,21.33,9.42,"23,000","23,200",D,C650,Medium Commuter Eqpt
27,1033,5/5/1970,28/10/2015,577,15-Sep,Cessna,"Citation XLS, XLS+",Jet,2,117,56.33,no winglets,52.5,17.17,21.92,21.92,14.92,"20,200","20,400",S,C56X,Medium Commuter Eqpt
28,910,9/15/1977,17/7/2011,759,8-Sep,Lancair,LC-40 Columbia 300/350/400,Piston,1,78,36.08,no winglets,25.17,9,tbd,tbd,tbd,"3,400","3,400",S,tbd,Small Eqpt
29,879,1/23/1990,27/11/2016,888,15-Sep,Cessna,Citation CJ2                      (Model C525A),Jet,2,114,49.83,no winglets,47.67,14,17.83,17.83,15.92,"12,300","12,425",S,C25A,Small Eqpt
30,222,6/7/1980,14/8/2012,822,8-Sep,Cessna,350 Corvalis (formerly the Lancair LC-40 Columbia 350),Piston,1,78,36.08,none,25.17,9,tbd,tbd,tbd,"3,400","3,400",S,COL3,Small Eqpt
31,673,4/17/1973,20/12/2015,510,8-Sep,Cessna,400 Corvalis TT (formerly the Lancair LC-40 Columbia 400),Piston,1,78,36.08,none,25.17,9,tbd,tbd,tbd,"3,400","3,400",S,COL4,Small Eqpt
32,578,7/19/1977,18/1/2014,719,15-Sep,Cessna,"Citation CJ3, CJ3+           (Model C525B)",Jet,2,108,53.33,no winglets,51.17,15.17,20,20,16,"13,870","14,070",S,C25B,Small Eqpt
33,888,3/2/1963,1/6/2017,790,15-Sep,Cessna,Citation CJ4                      (Model C525C),Jet,2,111,50.83,no winglets,53.33,15.42,21.17,21.17,12.33,"17,110","17,230",S,C25C,Small Eqpt
34,368,12/24/1976,12/10/2014,742,7-Sep,Cessna,172 Skyhawk Turbo JT-A (aka a Turbo Skyhawk),Piston,1,62,36.08,no winglets,27.17,8.92,5.42,5.42,tbd,"2,550","2,552",S,C172,Small Eqpt
35,102,2/29/1976,30/12/2012,600,7-Sep,Cessna,"172 Skyhawk, 172S Skyhawk SP, 172 Hawk XP-R172",Piston,1,62,36.08,no winglets,27.17,8.92,5.42,5.42,tbd,"2,550","2,558",S,C172,Small Eqpt
36,800,10/28/1971,8/7/2015,557,7-Sep,Cessna,182 Skylane RG,Piston,1,64,36,none,29,9.33,5.58,5.58,9,"3,100","3,110",S,"C182, C82R",Small Eqpt
37,636,5/22/1972,16/5/2016,533,7-Sep,Cessna,206 Stationair Turbo HD,Piston,1,74,36,none,28.25,9.29,5.77,5.77,8.09,"3,789","3,806",S,"C206, T206",Small Eqpt
38,127,5/20/1983,22/8/2012,911,8-Sep,Cessna,208 Caravan,Turboprop,1,79,52.08,none,37.58,14.92,11.67,11.67,11.67,"8,000","8,035",S,C208,Small Eqpt
39,902,11/11/1964,28/11/2011,991,8-Sep,Cessna,208B Grand Caravan EX Amphibian,Turboprop,1,77,52.08,none,41.58,17.42,n/a,n/a,7.17,"9,062","9,097",S,C208,Small Eqpt
40,887,11/2/1963,10/9/2015,726,8-Sep,Cessna,208B Grand Caravan EX/Super Cargomaster EX,Turboprop,1,79,52.08,none,41.58,15.08,13.33,13.33,11.67,"8,807","8,842",S,C208,Small Eqpt
41,265,6/27/1977,2/2/2013,509,8-Sep,Cessna,TTx Model T240 (formerly the Lancair LC-40 Columbia 400),Piston,1,78,36,no winglets,25.17,9,tbd,tbd,tbd,"3,600","3,600",S,tbd,Small Eqpt
42,95,12/4/1960,24/2/2011,952,30-Oct,Mahindra Aerospace,Airvan 10,Jet,1,83,40.58,no winglets,33.5,12.75,tbd,tbd,tbd,"4,750","4,750",S,tbd,tbd
43,384,2/24/1976,12/4/2017,797,30-Oct,Mahindra Aerospace,Airvan 8 Turbo,Piston,1,83,40.72,no winglets,29.36,12.75,tbd,tbd,tbd,"4,200","4,200",S,tbd,tbd
44,850,4/15/1988,18/10/2012,775,24-Aug,Pilatus,PC-12 NG,Turboprop,1,87,53.33,tips swept up,47.25,14,11.42,11.42,14.83,"10,450","10,495",S,PC12,Small Eqpt
45,1016,5/16/1980,25/6/2014,625,7-Sep,Quest,Kodiak 100,Turboprop,1,78,45,no winglets,34.17,15.25,tbd,tbd,12.25,"7,255","7,305",S,tbd,Small Eqpt
46,314,12/30/1989,8/4/2014,535,8-Sep,Cessna,Denali,Turboprop,1,tbd,54.25,winglets,48.75,15.17,15.08,15.08,16.5,tbd,tbd,S,tbd,Small Eqpt
47,1035,12/28/1988,9/3/2016,679,,Piper,PA-24-180 Comanche,Piston,,,,,,,,,,,,S,PA24,Small Eqpt
48,612,6/14/1976,11/2/2014,877,,Piper,PA-24-250 Comanche,Piston,,,,,,,,,,,,S,PA24,Small Eqpt
49,937,10/22/1966,27/9/2011,670,,Piper,PA-24-260 Comanche,Piston,,,,,,,,,,,,S,PA24,Small Eqpt
50,545,10/11/1966,25/5/2011,889,,Piper,PA-24-400 Comanche,Piston,,,,,,,,,,,,S,PA24,Small Eqpt
51,760,5/4/1974,20/12/2015,893,2-Nov,Piper,PA-28R-200 Cherokee Arrow,Piston,1,73,30,no winglets,23.5,7.29,7.85,7.85,10.98,"2,600","2,600",S,P28R,Small Eqpt
52,769,3/18/1970,10/6/2013,863,2-Nov,Piper,PA-28R-200 Cherokee Arrow II,Piston,1,73,30,no winglets,23.92,7.29,6.58,6.58,10.98,"2,600","2,600",S,P28R,Small Eqpt
53,425,10/15/1984,21/4/2011,650,29-Aug,Adam Aircraft Industries,A500,Piston,2,98,44,small winglets,37.5,9.58,13,13,16,"7,000","7,050",S,A500,tbd
54,126,2/8/1963,4/2/2014,696,17-Oct,Aero Boero,AB-115 BS,Piston,1,47,35.17,no winglets,23.85,6.88,tbd,tbd,tbd,"1,697","1,697",S,tbd,tbd
55,371,3/16/1977,7/7/2010,879,17-Oct,Aero Boero,AB-150 Ag,Piston,1,52,35.17,no winglets,23.83,6.92,tbd,tbd,tbd,"2,207","2,207",S,tbd,tbd
56,860,12/8/1977,2/6/2012,560,17-Oct,Aero Boero,AB-180 RVR,Piston,1,52,35.38,no winglets,23.23,6.73,tbd,tbd,tbd,"1,962","1,962",S,tbd,tbd
57,938,6/24/1963,28/4/2013,971,17-Oct,Aero Boero,AB-95,Piston,1,34,34.19,no winglets,22.63,7.21,tbd,tbd,tbd,"1,543","1,543",S,tbd,tbd
58,415,8/21/1961,9/4/2011,877,18-Sep,Aero Spacelines,B-377-SG/SGT Super Guppy,Jet,4,tbd,156.25,no winglets,143.67,48.5,tbd,tbd,tbd,"170,000",tbd,D,SGUP,tbd
59,1042,4/30/1989,19/11/2015,650,,Aero Vodochody,Aero L-139 Albatross,Jet,1,,,,,,,,,,,,L39,Medium Commuter Eqpt
60,424,7/21/1967,28/12/2011,851,,Aeronca,7AC Champion,Piston,1,,,,,,,,,,,,CH7A,Small Eqpt
61,1088,9/22/1971,22/5/2016,643,18-Sep,Aerospatiale,Nord 262A,Jet,2,90,71.83,no winglets,63.25,20.33,tbd,tbd,tbd,"22,710",tbd,S,N262,tbd
62,764,7/18/1984,7/7/2016,883,18-Sep,Aerospatiale,SN 601 Corvette,Jet,2,118,42.21,tip tanks,45.38,13.88,tbd,tbd,tbd,"14,550",tbd,S,S601,tbd
63,631,5/7/1988,8/9/2013,622,18-Sep,Aerospatiale (Sud Aviation),SE 210 Caravelle III,Jet,2,127,112.5,no winglets,101.7,28.61,tbd,tbd,tbd,"123,460",tbd,2D,S210,tbd
64,659,9/1/1962,4/3/2011,757,3-Nov,Aerostar Aircraft Corp,600/600A/600E Aerostar (see Piper PA-60/61),Piston,2,96,34.17,no winglets,34.81,12.13,11.67,11.67,10.21,"5,500","5,525",S,tbd,tbd
65,697,6/2/1986,13/2/2012,756,15-Aug,Air Tractor,502XP,Jet,1,77,52,no winglets,33.67,10.5,30.97,30.97,11,"10,480","10,480",S,AT5T,Small Eqpt
66,225,3/13/1973,24/8/2014,819,15-Aug,Air Tractor,AT-300/301,Piston,1,74,45,no winglets,27,8.5,24.84,24.84,9.5,"5,000","5,000",S,AT3P,Small Eqpt
67,106,11/26/1988,3/5/2015,957,15-Aug,Air Tractor,AT-302,Jet,1,74,45.1,no winglets,27,8.5,24.84,24.84,9.5,"7,700","7,700",S,AT3P,Small Eqpt
68,234,4/24/1972,18/12/2012,711,15-Aug,Air Tractor,AT-402B,Jet,1,74,51.08,no winglets,30.58,9.5,28.14,28.14,9.5,"9,170","9,170",S,AT3T,Small Eqpt
69,454,1/23/1977,19/1/2016,984,15-Aug,Air Tractor,AT-502B,Jet,1,77,52,no winglets,33.17,10.25,30.51,30.51,11,"9,400","9,400",S,AT5T,Small Eqpt
70,272,7/6/1981,2/11/2015,880,15-Aug,Air Tractor,AT-504,Jet,1,73,52,no winglets,33.17,10.25,30.51,30.51,11,"9,600","9,600",S,AT5T,Small Eqpt
71,435,10/22/1988,24/1/2013,717,15-Aug,Air Tractor,AT-602,Jet,1,92,56,no winglets,33.5,11,30.82,30.82,11,"12,500","12,500",S,AT6T,Small Eqpt
72,409,9/28/1984,29/9/2014,970,15-Aug,Air Tractor,AT-802A,Jet,1,103,59.25,no winglets,36,11.13,23.83,23.83,11,"16,000","16,000",S,AT8T,Small Eqpt
73,429,4/12/1972,29/6/2010,750,15-Aug,Air Tractor,AT-802F,Jet,1,103,59.25,no winglets,37.5,11.2,23.83,23.83,11,"16,000","16,000",S,AT8T,Small Eqpt
74,961,2/14/1961,9/1/2012,921,29-Feb,Airbus,A300-100 (A300-B4-100),Jet,2,137,147.08,no winglets,175.5,54.86,60.8,75,36.1,"347,227","349,211",2D,A30B,Heavy Eqpt
75,1049,3/7/1971,11/5/2010,741,29-Feb,Airbus,A300-100/200 (A300-B2-100/200),Jet,2,137,147.08,no winglets,175.5,54.86,60.8,75,36.1,"313,056","315,040",2D,A30B,Heavy Eqpt
76,666,9/1/1965,12/2/2014,691,29-Feb,Airbus,A300-200 (A300-B4-200),Jet,2,137,147.08,no winglets,175.5,54.86,60.8,75,36.1,"363,760","365,740",2D,A30B,Heavy Eqpt
77,928,3/14/1968,21/4/2014,511,29-Feb,Airbus,"A300-200 (A300-C4-200, F4-200)",Jet,2,137,147.08,no winglets,175.5,54.86,60.8,75,36.1,"363,760","365,740",2D,A30B,Heavy Eqpt
78,1008,5/30/1973,3/8/2011,565,29-Feb,Airbus,A300-600 (B4/C4-600),Jet,2,137,147.14,wingtip fences,177.43,54.67,61.03,75,36,"363,760","365,740",2D,A306,Heavy Eqpt
79,262,1/11/1968,26/7/2017,765,29-Feb,Airbus,A300-600R (B4-600R),Jet,2,137,147.14,wingtip fences,177.43,54.67,61.03,75,36,"378,530","380,518",2D,A30B,Heavy Eqpt
80,114,11/22/1976,5/4/2016,968,,Airbus,A300-600ST BelugaST,Jet,2,137,147.14,wingtip fences,184.25,56.58,tbd,tbd,tbd,"341,713","341,713",2D,,Heavy Eqpt
81,330,6/24/1976,31/12/2011,975,,Airbus,A300-600XL BelugaXL,Jet,2,137,197.83,winglets,207,62.08,tbd,tbd,tbd,"500,444","500,444",2D,,Heavy Eqpt
82,1080,10/1/1966,6/9/2014,969,29-Feb,Airbus,A300F4-600,Jet,2,137,147.14,wingtip fences,177.42,54.67,61.03,75,36,"375,887","377,871",2D,A306,Heavy Eqpt
83,849,9/15/1986,25/2/2017,656,29-Feb,Airbus,A310-200,Jet,2,139,144.03,no winglets,153.16,52.32,49.93,63.9,36,"317,465","319,449",2D,A310,Heavy Eqpt
84,1046,1/17/1972,25/9/2017,616,29-Feb,Airbus,A310-300,Jet,2,139,144.03,no winglets,153.16,52.06,49.93,63.9,36,"361,557","363,541",2D,A310,Heavy Eqpt
85,1050,5/30/1989,27/2/2015,814,15-Mar,Airbus,A318-100,Jet,2,121,111.88,wingtip fences,103.18,42.29,33.63,42.35,29.36,"149,914","150,796",D,A318,Large Jet Eqpt
86,749,11/25/1982,22/3/2015,641,29-Feb,Airbus,A319-100,Jet,2,126,111.88,wingtip fences,111.02,39.73,36.23,44.9,29.36,"168,653","169,535",D,A319,Large Jet Eqpt
87,595,5/23/1965,17/3/2015,591,29-Feb,Airbus,A319-100 Sharklet,Jet,2,126,117.45,winglets,111.02,39.73,36.23,44.9,29.36,"168,653","169,535",D,A319,Large Jet Eqpt
88,341,8/12/1980,9/6/2013,754,29-Feb,Airbus,A319neo Sharklet,Jet,2,126,117.45,winglets,111.02,39.73,36.23,44.9,29.36,"166,449","167,331",D,A319,Large Jet Eqpt
89,700,3/1/1989,9/2/2014,999,29-Feb,Airbus,A320-200,Jet,2,136,111.88,wingtip fences,123.27,39.63,41.47,50.2,29.36,"171,961","172,842",D,A320,Large Jet Eqpt
90,326,11/9/1974,28/4/2011,955,29-Feb,Airbus,A320-200 Sharklet,Jet,2,136,117.45,winglets,123.27,39.63,41.47,50.2,29.36,"171,961","172,842",D,A320,Large Jet Eqpt
91,361,7/10/1989,13/5/2015,620,29-Feb,Airbus,A320neo Sharklet,Jet,2,136,117.45,winglets,123.27,39.63,41.47,50.2,29.36,"174,165","175,047",D,A320,Large Jet Eqpt
92,1096,2/3/1961,2/12/2015,978,16-Mar,Airbus,A321-100,Jet,2,140,111.88,wingtip fences,146.03,39.7,55.45,44.95,29.43,"196,211","197,093",D,A321,Large Jet Eqpt
93,1069,4/13/1967,22/7/2010,698,16-Mar,Airbus,A321-100 Sharklet,Jet,2,140,117.45,winglets,146.03,39.7,55.45,44.95,29.43,"196,211","197,093",D,A321,Large Jet Eqpt
94,231,1/6/1984,8/7/2016,555,16-Mar,Airbus,A321-200,Jet,2,140,111.88,wingtip fences,146.03,39.7,55.45,44.95,29.43,"206,132","207,014",D,A321,Large Jet Eqpt
95,983,2/4/1978,22/4/2013,950,16-Mar,Airbus,A321-200 Sharklet,Jet,2,140,117.45,winglets,146.03,39.7,55.45,44.95,29.43,"206,132","207,014",D,A321,Large Jet Eqpt
96,620,1/13/1972,31/5/2010,986,16-Mar,Airbus,A321neo Sharklet,Jet,2,140,117.45,winglets,146.03,39.7,55.45,44.95,29.43,"206,132","207,014",D,A321,Large Jet Eqpt
97,265,8/30/1977,4/1/2013,581,16-Mar,Airbus,A330-200,Jet,2,136,197.83,winglets,193.57,59.81,72.77,86.78,41.37,"533,519","535,503",2D,A332,Heavy Eqpt
98,219,7/11/1974,3/9/2010,739,16-Mar,Airbus,A330-200F,Jet,2,139,197.83,winglets,192.98,57.12,72.77,86.78,41.37,"533,519","535,503",2D,A332,Heavy Eqpt
99,1058,3/2/1969,14/6/2012,853,16-Mar,Airbus,A330-300,Jet,2,137,197.83,winglets,208.99,56.36,83.27,97.28,41.37,"533,519","535,503",2D,A333,Heavy Eqpt
100,1065,8/20/1979,1/2/2014,791,9-Jun,Airbus,A340-200,Jet,4,136,197.83,winglets,194.95,55.86,76.25,90.26,41.37,"606,271","608,255",2D/D1,A342,Heavy Eqpt
101,1026,2/22/1977,1/12/2010,565,9-Jun,Airbus,A340-300,Jet,4,138,197.83,winglets,208.96,55.72,83.27,97.28,41.37,"609,578","611,562",2D/D1,A343,Heavy Eqpt
102,922,2/1/1979,12/3/2014,737,9-Jun,Airbus,A340-500,Jet,4,146,208.17,winglets,222.87,57.51,90.48,104.2,41.37,"837,756","840,402",2D/2D1,A345,Heavy Eqpt
103,351,3/20/1984,11/11/2015,647,9-Jun,Airbus,A340-600,Jet,4,153,208.17,winglets,247.24,58.84,107.87,121.59,41.37,"837,756","840,402",2D/2D1,A346,Heavy Eqpt
104,254,6/10/1984,17/5/2015,694,18-Sep,Airbus,A350-1000,Jet,2,140,212.42,winglets,242.09,57.14,106.56,111.78,42.13,"685,638","687,622",3D,,Heavy Eqpt
105,840,9/12/1964,1/7/2013,767,,Airbus,A350-1000 XWB,Jet,2,140,212.42,winglets,242.42,56,106.56,111.78,42.69,"681,000","681,000",3D,,
106,777,3/14/1969,11/1/2011,654,,Airbus,A350-800 XWB,Jet,2,140,212.42,winglets,198.58,55.92,81.58,86.8,42.22,"546,700","548,700",2D,,
107,309,1/28/1979,18/5/2012,684,18-Sep,Airbus,A350-900,Jet,2,140,212.42,winglets,219.16,57.31,94.05,99.27,42.22,"617,295","619,279",2D,A359,Heavy Eqpt
108,712,7/4/1980,3/3/2010,663,,Airbus,A350-900 XWB,Jet,2,140,212.42,winglets,219.42,55.92,94.05,99.27,42.22,"617,300","619,300",2D,,
109,468,3/12/1973,23/4/2013,931,9-Jun,Airbus,A380-800,Jet,4,145,261.65,wingtip fences,238.62,78.96,93.86,100.59,47.05,"1,267,658","1,272,067",2D/3D2,A388,Heavy Eqpt
110,792,7/18/1975,3/11/2010,872,9-Jun,Airbus,A380-843F,Jet,4,145,261.65,wingtip fences,238.62,79.3,93.86,100.59,47.05,"1,300,000","1,305,000",2D/3D2,A38F,Heavy Eqpt
111,147,1/14/1978,2/8/2012,858,,AMD,Zenith,Piston,1,,,,,,,,,,,,CH2T,Small Eqpt
112,928,8/20/1975,17/10/2013,641,,American Aviation,AA-1 Trainer,Piston,1,70,24.5,,,7.58,,,,"1,500",,,AA1,Small Eqpt
113,1090,6/3/1990,24/5/2010,757,,American Aviation,AA-5 Traveler,Piston,1,80,31.5,,,8,,,,"2,200",,,AA5,Small Eqpt
114,912,5/15/1987,31/3/2012,736,,American Aviation,AA-5A Cheetah,Piston,1,,,,,,,,,,,,AA5A,Small Eqpt
115,601,10/30/1974,26/12/2016,867,,American Champion Aircraft,7EC,,,78,33.5,,,7.7,,,,"1,320",,,CH7A,tbd
116,165,4/19/1961,20/6/2016,946,,American Champion Aircraft,7ECA,,,88,33.5,,,7.7,,,,"1,750",,,CH7A,tbd
117,586,1/14/1989,21/5/2012,585,,American Champion Aircraft,7GCBC,,,87,34.5,,,7.7,,,,"1,800",,,CH7B,tbd
118,492,5/23/1963,18/10/2014,606,,American Champion Aircraft,8GCBC,,,92,36.2,,,9.7,,,,"2,150",,,BL8,tbd
119,1038,1/16/1979,12/12/2015,617,,American Champion Aircraft,8KCAB,,,90,32,,,7.7,,,,"1,950",,,BL8,tbd
120,676,5/9/1969,26/2/2015,968,,Anequim,CEA-311,,,91,19.67,,17.33,3.67,,,,"1,102","1,102",,tbd,tbd
121,613,1/8/1967,9/12/2011,975,,Antonov,AN-12,,,127,124.8,,,34.6,,,,"121,500",,,AN12,tbd
122,788,5/1/1979,5/2/2016,733,,Antonov,AN-124,,,124,240.5,,,69.17,,,,"892,871",,,A124,tbd
123,388,7/10/1986,15/6/2013,756,,Antonov,AN-140,,,230,83.67,,,27,,,,"47,400",,,A140,tbd
124,288,11/19/1969,2/3/2010,869,,Antonov,AN-26,,,121,95.8,,,28.1,,,,"52,920",,,tbd,tbd
125,806,7/9/1978,17/7/2010,605,,Antonov,AN-72,,,89,84.7,,,27,,,,"66,000",,,AN72,tbd
126,382,8/27/1974,11/1/2010,695,9-Jun,ATR,ATR-42-300/320,Jet,,104,80.58,no winglets,74.42,24.92,28.83,28.83,"> 13' 5"" (16' per Appx 1)","36,825","36,870",D,AT43,tbd
127,669,5/3/1969,5/6/2011,778,9-Jun,ATR,"ATR-42-500/""600""",Jet,,104,80.58,no winglets,74.42,24.92,28.83,28.83,"> 13' 5"" (16' per Appx 1)","41,005","41,380",D,AT45,tbd
128,1006,11/23/1985,26/7/2014,557,9-Jun,ATR,ATR-72-101/102,Jet,,114,88.75,no winglets,89.13,25.08,35.33,35.33,"> 13' 5"" (16' per Appx 1)","44,070","44,136",D,AT72 (assumed),tbd
129,744,6/24/1981,25/6/2015,780,9-Jun,ATR,ATR-72-201/202 and -211/212,Jet,,114,88.75,no winglets,89.13,25.08,35.33,35.33,"> 13' 5"" (16' per Appx 1)","47,400","47,465",D,AT72 (assumed),tbd
130,920,11/19/1973,22/10/2015,986,9-Jun,ATR,ATR-72-201/202 with Mod 3651,Jet,,114,88.75,no winglets,89.13,25.08,35.33,35.33,"> 13' 5"" (16' per Appx 1)","48,501","48,667",D,AT72 (assumed),tbd
131,720,12/28/1982,1/10/2016,832,9-Jun,ATR,"ATR-72-212A/""600"" Basic",Jet,,114,88.75,no winglets,89.13,25.08,35.33,35.33,"> 13' 5"" (16' per Appx 1)","48,501","48,898",D,AT72 (assumed),tbd
132,540,5/26/1987,29/4/2015,579,9-Jun,ATR,ATR-72-212A/600 with Mod 4671,Jet,,114,88.75,no winglets,89.13,25.08,35.33,35.33,"> 13' 5"" (16' per Appx 1)","49,603","49,978",D,AT72 (assumed),tbd
133,783,5/14/1970,22/10/2014,959,16-Mar,Australian Government Aircraft Facilities (GAF),Nomad N22B*,,,69,54.17,,41.17,18.1,,,,"8,500",,D,NOMA,tbd
134,538,1/21/1981,14/5/2015,966,16-Mar,Australian Government Aircraft Facilities (GAF),Nomad N24A,,,73,54.17,,47.08,18.2,,,,"9,400",,D,NOMA,tbd
135,980,3/4/1978,7/8/2017,658,,AviaBellanca Aircraft,"Bellanca 15, Bellanca 260B",Piston,1,,,,,,,,,,,,B14C,Small Eqpt
136,774,7/15/1982,5/2/2011,834,,AviaBellanca Aircraft,Bellanca 8 Scout,Piston,1,,,,,,,,,,,,BL8,Small Eqpt
137,141,4/7/1962,26/10/2011,653,,AviaBellanca Aircraft,Bellanca Viking,Piston,1,,,,,,,,,,,,BL17,Small Eqpt
138,260,2/1/1979,31/7/2013,523,,"Aviat Aircraft, Inc.",Eagle,,,,,,,,,,,,,,tbd,tbd
139,835,7/13/1976,23/5/2016,546,,"Aviat Aircraft, Inc.",Husky,Piston,1,,,,,,,,,,,,HUSK,Small Eqpt
